year,mean,lo_95,hi_95,n_proxies
1,-0.09775730801419455,-0.38186610267362775,0.18635148664523862,78
2,-0.3177000978180255,-0.5844342550489197,-0.05096594058713133,73
3,-0.20000838784622132,-0.4714282419866338,0.07141146629419115,80
4,-0.34026315303490345,-0.6109573642336177,-0.06956894183618928,84
5,-0.31327101094615173,-0.5917881598229828,-0.034753862069320685,72
6,-0.08277252133527048,-0.36102202347163237,0.19547698080109144,79
7,-0.08967609360510397,-0.3975358702734211,0.21818368306321312,73
8,-0.28238939803020624,-0.553763922307897,-0.011014873752515475,82
9,-0.2185809330035321,-0.48709684520920643,0.04993497920214224,73
10,-0.1478507099937313,-0.4172621157651474,0.1215606957776848,80
11,-0.16925084215842298,-0.4377628587597815,0.0992611744429355,79
12,-0.20269262873445124,-0.4974459768270938,0.09206071935819135,86
13,-0.1362901902656902,-0.4354907787425085,0.1629103982111281,89
14,-0.22323010323912787,-0.4925178218190135,0.04605761534075778,94
15,-0.15466570389329373,-0.4452850830401227,0.13595367525353522,87
16,-0.19933841753784423,-0.461700004053449,0.06302316897776053,88
17,-0.1459769317815295,-0.4281056198086012,0.13615175624554213,85
18,-0.17230334170920722,-0.44610439973676863,0.10149771631835422,88
19,-0.021484446869149163,-0.29933472524723703,0.25636583150893866,92
20,-0.20545944771341396,-0.45497890398861474,0.04406000856178685,92
21,-0.30231025878830564,-0.5636860187229203,-0.04093449885369094,95
22,-0.2116671115676693,-0.4557542625470973,0.03242003941175867,85
23,-0.19271455699937315,-0.44997002072418824,0.06454090672544197,87
24,-0.06648633038315581,-0.3429082208531228,0.20993556008681113,97
25,0.0036927960146574098,-0.2695740095658979,0.27695960159521266,88
26,-0.012814809284582142,-0.31204491389678735,0.2864152953276231,90
27,0.061945142450979596,-0.22174293872568612,0.3456332236276453,87
28,-0.029474186820032583,-0.2813885583267949,0.22244018468672974,89
29,-0.37674588130403974,-0.6544798137762451,-0.09901194883183445,87
30,-0.14009116155188392,-0.3880574278609147,0.10787510475714682,92
31,-0.08715485920162101,-0.35608169327177197,0.18177197486852992,88
32,0.09187714889519981,-0.20176774300276074,0.3855220407931604,88
33,-0.061144815952663766,-0.3160267573905352,0.1937371254852077,88
34,0.02509832384388874,-0.2571786977874743,0.30737534547525175,100
35,0.054455527276651663,-0.22707375856063267,0.33598481311393597,90
36,0.007147049616332832,-0.30114888023418435,0.31544297946685,87
37,-0.02815074105648697,-0.26860615207181765,0.2123046699588437,98
38,-0.062312524443268624,-0.33522367307526657,0.21059862418872932,90
39,-0.10512930400652615,-0.36981495907952067,0.15955635106646837,84
40,-0.3098501731237134,-0.5754351207921677,-0.044265225455259016,90
41,-0.10947576274203981,-0.36609687799207646,0.14714535250799687,91
42,-0.11046268704415357,-0.3835548285282491,0.16262945443994198,87
43,-0.21462234474979822,-0.4769292408884749,0.04768455138887842,87
44,-0.425796436415887,-0.6737552332307808,-0.17783763960099325,95
45,-0.24280736823516225,-0.5089714693150298,0.02335673284470524,89
46,-0.32208015566476705,-0.5741161706762556,-0.07004414065327852,89
47,-0.3437785001561925,-0.5943569968530071,-0.09320000345937779,85
48,-0.2700544796463151,-0.5194040300834339,-0.020704929209196254,87
49,0.010341793273810924,-0.2305830226830296,0.25126660923065147,109
50,-0.22389587850401463,-0.4581076522867916,0.010315895278762366,89
51,-0.27792246292296835,-0.5344581996365741,-0.02138672620936255,90
52,-0.13440266273197246,-0.39758736141394635,0.1287820359500014,96
53,-0.26939655269120405,-0.5284325661354576,-0.010360539246950518,87
54,-0.04185110664773469,-0.31222685435742764,0.22852464106195827,98
55,-0.10823847539764857,-0.36974961201342066,0.1532726612181235,91
56,-0.20776560369858604,-0.46108058656556794,0.045549379168395854,91
57,-0.2948698139996699,-0.5366957678074635,-0.05304386019187626,94
58,-0.23217126870654148,-0.4916991094734266,0.027356572060343642,92
59,-0.3445975491485614,-0.5895828636830205,-0.09961223461410232,87
60,-0.22561015147145844,-0.4843548805590743,0.03313457761615743,93
61,0.0140525683786111,-0.28783487245200146,0.3159400092092236,89
62,-0.09966888000394271,-0.35278836304742067,0.15345060303953528,88
63,-0.16465912452768477,-0.40835175418555036,0.07903350513018079,90
64,-0.17996129518032858,-0.42615996209388574,0.0662373717332286,99
65,-0.24199417422618624,-0.4970653711056875,0.013077022653315007,89
66,-0.17477013023804513,-0.4279451486000163,0.07840488812392601,87
67,-0.26248581221261363,-0.5080008408665575,-0.016970783558669766,87
68,-0.043194867722671136,-0.40138801251405537,0.31499827706871314,91
69,-0.3575360808418003,-0.6100456387114122,-0.10502652297218845,86
70,-0.17420902641476108,-0.4196827199892871,0.07126466715976496,90
71,-0.04049942353265347,-0.2989698001257098,0.21797095306040287,91
72,0.019851677884407563,-0.2256034498307123,0.2653068055995274,95
73,-0.27903494053136735,-0.5582993630985827,0.00022948203584804983,92
74,-0.1658251115060834,-0.4344043159371068,0.10275409292494,100
75,-0.03859824566254993,-0.3338312777112165,0.25663478638611664,87
76,-0.1292278449257919,-0.4154232562561442,0.15696756640456042,89
77,-0.09017532625626541,-0.39293077715385405,0.21258012464132325,85
78,0.03675574199310447,-0.27313364626727155,0.3466451302534804,89
79,0.016261238184033477,-0.29270824799826073,0.32523072436632766,87
80,0.05266990562727216,-0.26788855138539697,0.37322836263994125,96
81,0.017650621742980706,-0.26933794881275275,0.30463919229871417,97
82,-0.10086811236054839,-0.40626761998829575,0.204531395267199,88
83,-0.33869965886309406,-0.6157955318017776,-0.06160378592441057,91
84,-0.2927703087752161,-0.5611646376462744,-0.024375979904157796,96
85,-0.29762404934996706,-0.5868655319429433,-0.008382566756990784,90
86,-0.23495754500198135,-0.5066079789002504,0.036692888896287745,90
87,-0.1260435156646279,-0.41893425086740604,0.16684721953815024,88
88,0.14021379418811522,-0.16813678211051383,0.44856437048674425,90
89,0.08166601041445042,-0.22354661928929648,0.38687864011819734,87
90,-0.035117821877165854,-0.30881520599246903,0.23857956223813734,98
91,-0.1697211319042478,-0.45795036481852847,0.11850810101003284,86
92,-0.17918114863137014,-0.47649863964625516,0.11813634238351489,86
93,-0.1307507658676868,-0.41394312255273713,0.15244159081736353,92
94,-0.2682131149116031,-0.5347787250006334,-0.0016475048225728095,99
95,-0.3643763238042134,-0.6405767172208874,-0.0881759303875394,90
96,-0.21441604604290024,-0.4698835341594423,0.041051442073641836,98
97,-0.41297636670300936,-0.6964954565838447,-0.129457276822174,87
98,-0.3386012546087112,-0.5895361755467705,-0.08766633367065196,91
99,-0.23802516037732552,-0.5103025971622235,0.0342522764075725,87
100,-0.4383107567783053,-0.708937218478677,-0.1676842950779336,92
101,-0.3357051445736574,-0.6046974559700629,-0.06671283317725196,87
102,-0.3167893078692085,-0.5858018518975039,-0.04777676384091312,89
103,-0.16608465662167757,-0.40640787145685286,0.07423855821349773,91
104,-0.2353668603167612,-0.4686639672500408,-0.0020697533834816706,97
105,-0.09607799098031737,-0.36626984212397473,0.17411386016333996,90
106,-0.31617488859199,-0.5891775635369172,-0.04317221364706281,88
107,-0.16087891812050334,-0.40730304003942364,0.08554520379841696,92
108,-0.18470985329259026,-0.42709358495212346,0.057673878366942904,92
109,-0.18701960218219943,-0.41757922210295806,0.04354001773855917,108
110,-0.08167630869406611,-0.3296097595666323,0.16625714217850007,92
111,-0.08302819649128766,-0.3382517056086445,0.17219531262606913,89
112,-0.2867109908872255,-0.5557428228868289,-0.017679158887622226,87
113,-0.30462678498493234,-0.5505916835458096,-0.058661886424055176,89
114,-0.290599757763993,-0.5258841550277763,-0.055315360500209715,100
115,-0.12607998302410942,-0.3831196829032263,0.13095971685500749,91
116,-0.17236594621666237,-0.4184221468036686,0.07369025437034385,92
117,-0.18765981095204404,-0.4614009714720865,0.0860813495679984,88
118,-0.33147490462365015,-0.5810883413379839,-0.0818614679093164,88
119,-0.3394498113617447,-0.5810012067025561,-0.09789841602093324,88
120,-0.2966815369696517,-0.5365134205068334,-0.05684965343247006,95
121,-0.24363263462758947,-0.48751002874679705,0.00024475949161809063,90
122,-0.24888094418448087,-0.5010021238705178,0.003240235501555999,87
123,-0.46610525537001835,-0.6931793499781912,-0.23903116076184552,86
124,-0.2046131069868012,-0.6189233677193021,0.20969715374569967,99
125,-0.230563137505563,-0.43399006997979994,-0.027136205031326077,98
126,-0.4466983115561016,-0.6440491909884728,-0.24934743212373048,89
127,-0.2857784557567644,-0.5096857020983371,-0.061871209415191725,89
128,-0.32245205671867444,-0.5296600088948129,-0.11524410454253597,94
129,-0.27014123493528114,-0.4863251972724805,-0.05395727259808175,92
130,-0.3419479923045488,-0.5503210367670167,-0.1335749478420809,87
131,-0.3145203453512417,-0.5249027525344718,-0.10413793816801159,91
132,-0.12134158591645482,-0.3377609729655398,0.09507780113263016,98
133,-0.44554315913292275,-0.6616326062768273,-0.22945371198901823,86
134,-0.43082007625732194,-0.6390989476522433,-0.2225412048624006,99
135,-0.3208884784636182,-0.5293608628359258,-0.11241609409131059,89
136,-0.39264922887221937,-0.6236596036214137,-0.161638854123025,90
137,-0.43837518801931374,-0.681813851901687,-0.19493652413694046,90
138,-0.3151699453564769,-0.5390856262279123,-0.09125426448504148,89
139,-0.16461455093228283,-0.3710295934652793,0.04180049160071361,96
140,-0.2557987069276288,-0.47904067009954787,-0.032556743755709744,96
141,-0.3725827522192743,-0.5863020883405053,-0.1588634160980432,92
142,-0.29812917627584146,-0.5145161469641112,-0.08174220558757175,89
143,-0.2895411940322714,-0.4972700782815669,-0.08181230978297593,94
144,-0.364177857820168,-0.5693824780250746,-0.15897323761526141,96
145,-0.2602064471890138,-0.4930559640940988,-0.027356930283928826,95
146,-0.3961260764463859,-0.6006020602790751,-0.19165009261369664,89
147,-0.33849676981014265,-0.5648254353569077,-0.11216810426337764,85
148,-0.2588141049802517,-0.5075126342708769,-0.010115575689626538,87
149,-0.29503302116333524,-0.5499547393225839,-0.04011130300408661,86
150,-0.44431450747434115,-0.6762906386881169,-0.21233837626056545,94
151,-0.3843903273993982,-0.640366655292784,-0.12841399950601246,95
152,-0.30089401177639763,-0.5432331646655107,-0.05855485888728451,93
153,-0.1639841482961234,-0.3934032193902792,0.0654349227980324,96
154,-0.2549327698022471,-0.4648069865479538,-0.04505855305654036,101
155,-0.04275761527569008,-0.28129758344584177,0.19578235289446158,95
156,-0.21531402342345757,-0.43343856359426464,0.0028105167473495007,94
157,-0.11635172051959239,-0.34847447612212434,0.11577103508293954,91
158,-0.1386279256211438,-0.3642839707779416,0.08702811953565401,93
159,0.03966426937057633,-0.20845516115985907,0.2877836999010117,95
160,0.12837928214139563,-0.09270407444627057,0.3494626387290618,117
161,-0.03509561091511831,-0.26397955857351,0.19378833674327342,102
162,-0.07535573711472482,-0.32571436320057057,0.17500288897112093,91
163,-0.19356526753448616,-0.43270264477018683,0.04557210970121453,89
164,-0.26181818717960026,-0.4700246754000832,-0.053611698959117354,104
165,-0.2015930269175547,-0.4779991094334724,0.07481305559836299,91
166,-0.27212048458770277,-0.5082418295617163,-0.03599913961368925,95
167,-0.1348156989901099,-0.3972764979227803,0.12764509994256054,91
168,-0.24650579879217213,-0.4669947182706097,-0.026016879313734614,94
169,-0.1720533651870679,-0.3781012198821281,0.033994489507992276,100
170,-0.2968948440847327,-0.5103094578099643,-0.08348023035950108,94
171,-0.19015322094815557,-0.4051141833542497,0.02480774145793857,95
172,-0.16924374141225138,-0.3927792378089473,0.054291754984444524,90
173,-0.033964100982338916,-0.24379693845756484,0.17586873649288703,94
174,-0.30806491408596026,-0.5147395754126646,-0.10139025275925595,103
175,-0.2417618410789507,-0.4400497713013647,-0.04347391085653671,93
176,-0.26365998771082394,-0.47823294319441156,-0.049087032227236316,95
177,-0.1549518634393803,-0.36324244214512813,0.05333871526636755,103
178,-0.27744536338541514,-0.4959779069442373,-0.058912819826592966,92
179,-0.49394493096476005,-0.7077176488668249,-0.28017221306269524,91
180,-0.2027225544876348,-0.41381710545959166,0.008371996484322075,93
181,-0.23488711147522431,-0.4343692885531299,-0.03540493439731873,93
182,-0.3332278358682749,-0.5697239343223077,-0.0967317374142421,94
183,-0.2407882762586517,-0.4395583366082412,-0.04201821590906221,102
184,-0.23214244088861555,-0.41588976464636346,-0.04839511713086764,101
185,-0.2571016392670083,-0.4566511999953793,-0.05755207853863731,91
186,-0.16827218480767148,-0.3504757844560363,0.013931414840693324,104
187,-0.23179331101067735,-0.43626617837639275,-0.027320443644961945,96
188,-0.1300580840014367,-0.3333300621327776,0.0732138941299042,97
189,-0.2685659447469391,-0.48010803807061486,-0.057023851423263355,90
190,-0.3422082775004505,-0.5424793512675821,-0.141937203733319,96
191,-0.09205515844224342,-0.2992534807293718,0.11514316384488497,97
192,-0.28426595238426233,-0.4983402774228729,-0.07019162734565174,90
193,-0.17561816117712345,-0.36846138561947706,0.017225063265230184,98
194,-0.18405695858698393,-0.372560658104213,0.004446740930245191,101
195,-0.2113951737878785,-0.43440911350632616,0.01161876593056918,93
196,0.004552558171369257,-0.23255081135904446,0.24165592770178299,95
197,0.070050259228478,-0.1680669659670594,0.3081674844240154,93
198,-0.11666352835319845,-0.31392139745761644,0.08059434075121953,100
199,-0.12269326252023055,-0.343673296246758,0.09828677120629692,94
200,-0.21408295237884456,-0.4169254778097764,-0.011240426947912746,95
201,-0.20555408903070466,-0.4117429224666575,0.0006347444052481888,94
202,-0.25904745270154467,-0.4589553410226267,-0.05913956438046264,94
203,-0.27940697116179886,-0.4810399367999464,-0.0777740055236513,95
204,-0.19551897910901353,-0.39356996080859374,0.0025320025905666843,105
205,-0.15099094139045793,-0.33466426824777906,0.032682385466863195,116
206,-0.04398222499303289,-0.2673213132234005,0.17935686323733474,94
207,-0.1230055246245722,-0.33101054652892326,0.08499949727977887,97
208,-0.3835626078693714,-0.5909151292951139,-0.17621008644362887,98
209,-0.11439785844408196,-0.3162528409178238,0.08745712402965988,102
210,-0.038036124883663536,-0.2396085266213575,0.16353627685403044,104
211,-0.2369002387435989,-0.449844468400166,-0.023956009087031743,99
212,-0.090862341527911,-0.31534234123574406,0.13361765817992205,100
213,-0.08557530017512271,-0.29372881455641203,0.1225782142061666,98
214,-0.3091142695611685,-0.49825030714502183,-0.11997823197731519,103
215,-0.2936351046965107,-0.4879277343717222,-0.09934247502129925,93
216,-0.22459909706999467,-0.4153073902610282,-0.03389080387896115,95
217,-0.18766514528863165,-0.39724820895339885,0.021917918376135576,94
218,-0.2285988780788771,-0.44157535961555994,-0.0156223965421943,96
219,-0.22548242339376065,-0.4322258354803647,-0.018739011307156606,95
220,-0.25616345053112793,-0.4627744883777304,-0.049552412684525454,92
221,-0.2966189792672011,-0.49930258302991115,-0.09393537550449105,96
222,-0.21599814243965995,-0.42727698518922264,-0.004719299690097267,94
223,-0.08179197236042082,-0.2908044874613713,0.12722054274052963,94
224,-0.20045359524646048,-0.3924915240459802,-0.008415666446940723,110
225,-0.12293849179012346,-0.32350395873128873,0.07762697515104182,94
226,-0.13509466867233466,-0.32715857303551643,0.05696923569084711,108
227,-0.02705610155437882,-0.24588441674993147,0.19177221364117383,102
228,-0.24285945102389114,-0.47074264286169376,-0.014976259186088525,106
229,-0.16867764142474181,-0.3535584028181348,0.016203119968651147,104
230,-0.2480443421415368,-0.42156017836442444,-0.07452850591864918,107
231,-0.1799784617626962,-0.3699221716557634,0.00996524813037103,105
232,-0.07034155073672411,-0.2630249928128983,0.12234189133945007,109
233,-0.13181429628982458,-0.3136912303714383,0.05006263779178913,108
234,-0.355271097341967,-0.5283081363744053,-0.18223405830952866,112
235,-0.2886774916570526,-0.4971472676335661,-0.08020771568053908,114
236,-0.28955173202444034,-0.4824430978647555,-0.09666036618412524,109
237,-0.22117044113389284,-0.39970562911232965,-0.04263525315545605,101
238,-0.13363114007052104,-0.3165001564788621,0.04923787633781998,107
239,-0.0077247129370991725,-0.23101704152577862,0.21556761565158028,103
240,-0.10369214520060738,-0.2954077428145505,0.08802345241333578,113
241,-0.09442837982648794,-0.27991610146251283,0.09105934180953695,104
242,-0.12005625960781302,-0.3294804430995108,0.08936792388388476,102
243,-0.22711410059333748,-0.4087194720806044,-0.04550872910607057,107
244,-0.14432378315350586,-0.32437106680784566,0.03572350050083398,113
245,0.043812290661828165,-0.15358613611170385,0.24121071743536016,129
246,-0.023617477954748885,-0.23858540784371401,0.19135045193421624,109
247,0.017065563071958414,-0.18996012665186757,0.2240912527957844,104
248,-0.07059468231780441,-0.2523597358652129,0.11117037122960402,112
249,-0.0954587550262628,-0.28575219361806636,0.09483468356554073,107
250,0.04417962524093718,-0.14454742634911635,0.23290667683099073,111
251,-0.0001377312967529141,-0.2067701485781863,0.2064946859846805,106
252,0.01078552110648052,-0.1967700304069071,0.21834107261986813,103
253,-0.03186932288554115,-0.21165741784381548,0.14791877207273318,108
254,-0.12179792986731106,-0.28518698122819264,0.041591121493570554,112
255,-0.21700940996669274,-0.39131252920466736,-0.04270629072871812,110
256,-0.20730672083798343,-0.3625096378491163,-0.05210380382685062,110
257,-0.19268771838569962,-0.34654914522464775,-0.03882629154675146,109
258,-0.16650734002248288,-0.3436155022601346,0.01060082221516881,106
259,-0.17792090273891203,-0.33645407877043076,-0.019387726707393305,102
260,-0.2432891129213877,-0.4005821399308672,-0.08599608591190813,107
261,-0.23214964798354668,-0.39251101862831195,-0.07178827733878143,108
262,-0.28647378455381817,-0.44448651008916706,-0.1284610590184693,106
263,-0.19371557751294102,-0.3454312731391287,-0.041999881886753354,109
264,-0.1999908927240726,-0.3554649306281772,-0.044516854819968005,113
265,-0.19552794095282028,-0.3474556341041042,-0.043600247801536374,107
266,-0.08791818865354933,-0.2577994382608671,0.08196306095376843,110
267,-0.18490670598521022,-0.3531023823973344,-0.016711029573086067,106
268,-0.20967046292928493,-0.37666658338853704,-0.04267434247003282,111
269,-0.22165093449255385,-0.39642216713814604,-0.046879701846961636,103
270,-0.1902177670561393,-0.36859708265631475,-0.011838451455963878,109
271,-0.3607555519431366,-0.5172972385121917,-0.20421386537408143,107
272,-0.2916545967093097,-0.4691894323644118,-0.11411976105420762,111
273,-0.4000333937700606,-0.5604825960774641,-0.23958419146265705,106
274,-0.5276355326576557,-0.7131149403988183,-0.34215612491649317,114
275,-0.376686023425511,-0.5571090295099909,-0.1962630173410311,106
276,-0.37723003980010117,-0.5476129557358499,-0.20684712386435247,107
277,-0.27749205947253125,-0.429522334341505,-0.1254617846035575,112
278,-0.3070411735906267,-0.46414800614290314,-0.1499343410383503,110
279,-0.2043180672585791,-0.38338422018436635,-0.02525191433279181,105
280,-0.2211205539694058,-0.3757657370273397,-0.06647537091147193,109
281,-0.2812947658743276,-0.44486595972184245,-0.11772357202681277,102
282,-0.1244115632262348,-0.2946298757802595,0.04580674932778993,123
283,-0.23835666374761402,-0.3948709815071314,-0.08184234598809662,110
284,-0.11747414400042631,-0.2937331978344053,0.05878490983355268,121
285,-0.2959493769432458,-0.4590263603127761,-0.1328723935737155,102
286,-0.09178001689286361,-0.2529281345420924,0.06936810075636518,112
287,-0.2621243777765313,-0.43799675457529275,-0.08625200097776983,101
288,-0.16245200082847486,-0.34196095815141403,0.017056956494464343,107
289,-0.18405122354320122,-0.3421167424742061,-0.02598570461219632,106
290,-0.2676870657388628,-0.4203219251115874,-0.1150522063661382,110
291,-0.3195887837002378,-0.48788539117953833,-0.1512921762209373,104
292,-0.05115934394767449,-0.22471317697581178,0.1223944890804628,107
293,-0.3257326258858551,-0.4919965699079055,-0.1594686818638047,108
294,-0.38336768094616297,-0.5499400908609086,-0.21679527103141738,117
295,-0.2880662980487817,-0.45117725787749563,-0.12495533822006777,104
296,-0.12301704032037249,-0.2988150923798516,0.05278101173910664,107
297,-0.15915195242957453,-0.31605052012349477,-0.0022533847356543124,104
298,-0.2699575270046758,-0.4258358143460117,-0.11407923966333988,105
299,-0.18689537799772765,-0.3461110116807621,-0.027679744314693222,109
300,-0.0955602950323681,-0.24955837533655983,0.05843778527182364,112
301,-0.144719194865752,-0.32212835520133726,0.03268996546983327,105
302,-0.08625078462967903,-0.2579658764057443,0.08546430714638625,104
303,-0.025977835513827017,-0.19385458695591049,0.14189891592825646,111
304,-0.149794733339292,-0.3241214411801727,0.0245319745015887,116
305,-0.18885769921683274,-0.34968903918210237,-0.028026359251563104,110
306,-0.21246208642101888,-0.4072793769199366,-0.017644795922101164,104
307,-0.2439286795668743,-0.4180574945960893,-0.06979986453765927,107
308,-0.2051824418779344,-0.36878649677532094,-0.04157838698054789,109
309,-0.1421594335142838,-0.3237559602402435,0.03943709321167588,105
